id,x,y
1,29.1972904117632,41
2,25.927811715046,41
3,30.8063225568054,41
4,26.4108063252691,41
5,28.8806599243535,39
6,33.1049184373655,34
7,31.2877906529218,44
8,32.9378548353928,54
9,30.1433423291832,40
10,25.9147962726216,52
11,33.4641906598587,47
12,37.1012520372038,44
13,28.5843104058988,40
14,28.0573774380832,50
15,29.8058160729651,50
16,32.1994473484461,41
17,28.5616251964338,42
18,27.1973765642413,40
19,34.132063585395,34
20,31.0299522592912,42
21,27.7964851596681,39
22,27.567609346174,53
23,22.5567561477574,48
24,31.7187384639208,49
25,30.7020555127321,38
26,29.517612490873,43
27,32.3673097253464,46
28,25.8059324284608,39
29,31.5557812682119,41
30,34.8639346518682,44
31,32.1630294520573,33
32,29.9212617418722,44
33,33.7550034162437,34
34,29.7477386641002,45
35,27.1500071153138,33
36,32.6664745845845,35
37,32.7251150780297,34
38,31.2056173151918,39
39,36.0813767796782,35
40,33.4189598508977,52
41,28.0550833582341,38
42,28.0402983288192,50
43,27.7291000494482,42
44,31.8420289006649,49
45,32.4079268489706,55
46,33.7308344421016,47
47,27.922275568239,44
48,29.2308841719117,33
49,29.6459481124528,38
50,29.973996679386,47
51,31.8782152988321,42
52,28.3248182418217,45
53,29.3570568469243,26
54,25.5047745813534,44
55,25.3486492647606,43
56,30.6752951675591,39
57,29.6915322401942,51
58,32.3992565169596,51
59,27.969813527453,47
60,31.8240701543893,36
61,28.0124795061445,35
62,30.3219204571719,46
63,24.9941599695776,46
64,31.530438516185,51
65,27.7882813915047,35
66,24.6839139535147,50
67,26.0243099366624,42
68,34.0075849728398,58
69,32.225955151199,48
70,22.9391561163235,42
71,25.1695846048371,63
72,33.7253145431871,58
73,31.5160522079348,51
74,32.4376353762601,45
75,29.6478113059622,48
76,26.3621990044685,48
77,36.3627906275014,43
78,30.1886803888006,41
79,30.7558578090371,59
80,28.0678893413359,41
81,37.7031954122373,40
82,29.9267206256217,46
83,31.2505178724213,54
84,32.8560650875551,48
85,24.0744720436988,38
86,28.5219182407758,37
87,26.088028789587,44
88,34.9261293069514,58
89,30.0749275786204,45
90,25.5730368707673,49
91,30.2980155597977,54
92,32.9846182893944,44
93,28.6457322975217,47
94,30.2831622324126,44
95,29.8546200578214,39
96,31.1063404128978,58
97,28.3424594604535,39
98,27.213250560181,42
99,27.4560052223111,46
100,31.7396821923716,54
